slug,name,industry,subtype,parent,batch,folder,table_count,row_count,tables
"4851-wharf-pkwy-e-unit-d228","","","","","1","batch-01","13","21","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full bookable_resources bookable_resources_json_backup entity_completeness_v entity_google_maps_links entity_items_norm_v entity_items_v entity_offer entity_tags entity_theme search_index"
"5-hour-nearshore-trip","","","","","1","batch-01","14","36","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full bookable_resources bookable_resources_json_backup entity_completeness_v entity_items_norm_v entity_items_v entity_modules entity_offer entity_photos entity_theme search_index"
"50-50-lounge-foley","","","","","1","batch-01","11","20","entity_completeness_v entity_events entity_photos entity_theme industry_bar_nightlife recovery_import_log search_index tourist_saves tourist_seen tourist_swipe_events v_industry_facts_slugs"
"509-live-mobile","","","","","1","batch-01","6","6","entity_completeness_v entity_theme industry_bar_nightlife recovery_import_log search_index v_industry_facts_slugs"
"5eleven-palafox-event-hosting-pensacola","","","","","1","batch-01","6","6","entity_completeness_v entity_theme industry_event_venue recovery_import_log search_index v_industry_facts_slugs"
"6-hour-deep-sea-trip","","","","","1","batch-01","14","36","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full bookable_resources bookable_resources_json_backup entity_completeness_v entity_items_norm_v entity_items_v entity_modules entity_offer entity_photos entity_theme search_index"
"7-brew-coffee","","","","","1","batch-01","6","6","entity_completeness_v entity_theme industry_cafe_dessert recovery_import_log search_index v_industry_facts_slugs"
"781-farmers-market-ln-zybtak","","","","","1","batch-01","15","56","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full bookable_resources bookable_resources_json_backup entity_completeness_v entity_google_maps_links entity_items_norm_v entity_items_v entity_nearby_landmark_types entity_nearby_landmarks entity_offer entity_tags entity_theme search_index"
"7slots-casino","","","","","1","batch-01","17","51","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full bookable_resources bookable_resources_json_backup entity_completeness_v entity_hours entity_items_norm_v entity_items_v entity_offer entity_photos entity_tags entity_theme industry_entertainment_venue search_index v_industry_facts_slugs"
"8-hour-offshore-adventure","","","","","1","batch-01","14","35","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full bookable_resources bookable_resources_json_backup entity_completeness_v entity_items_norm_v entity_items_v entity_modules entity_offer entity_photos entity_theme search_index"
"8-reale","","","","","1","batch-01","23","131","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full ai_unified_search_items_full catalog_items catalog_sections drink_items drink_sections entity_completeness_v entity_good_for entity_highlights entity_hours entity_items_norm_v entity_items_v entity_offer entity_offer_section entity_photos entity_tags entity_theme industry_bar_nightlife search_index v_industry_facts_slugs"
"8-reale-2","","","","","1","batch-01","5","5","entity_completeness_v entity_conflicts industry_food_beverage search_index v_industry_facts_slugs"
"8-reale-obal","","","","","1","batch-01","27","196","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_event_planner_index_full ai_photo_index_full ai_unified_search_items_full entity_address_areas entity_attributes entity_completeness_v entity_conflicts entity_events entity_google_maps_links entity_google_reviews entity_hours entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_photos entity_reviews entity_tags entity_theme industry_bar_nightlife industry_food_beverage legacy_photo_migration_queue recovery_import_log search_index v_industry_facts_slugs"
"888slot","","","","","1","batch-01","20","94","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full bookable_resources bookable_resources_json_backup entity_completeness_v entity_good_for entity_highlights entity_hours entity_items_norm_v entity_items_v entity_modules entity_offer entity_photos entity_tags entity_theme industry_entertainment_venue search_index v_industry_facts_slugs"
"a-1-taxi-service","","","","","1","batch-01","23","89","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full bookable_resources bookable_resources_json_backup entity_address_areas entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_items_norm_v entity_items_v entity_modules entity_nearby_landmarks entity_offer entity_photos entity_reviews entity_tags entity_theme industry_transportation search_index v_industry_facts_slugs"
"a-beach-life","","","","","1","batch-01","20","51","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full bookable_resources bookable_resources_json_backup entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_items_norm_v entity_items_v entity_nearby_landmark_types entity_nearby_landmarks entity_offer entity_reviews entity_tags entity_theme industry_hotel search_index v_industry_facts_slugs"
"a-beach-portrait-llc","","","","","1","batch-01","21","68","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full bookable_resources bookable_resources_json_backup entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_items_norm_v entity_items_v entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_offer entity_photos entity_reviews entity_tags entity_theme search_index"
"a-e-restoration-antiques","","","","","1","batch-01","12","28","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full bookable_resources bookable_resources_json_backup entity_completeness_v entity_items_norm_v entity_items_v entity_modules entity_offer entity_theme search_index"
"a-fish-store","","","","","1","batch-01","20","91","ai_data_completeness_audit_full ai_entity_intent_tags_full ai_entity_profiles_full ai_photo_index_full entity_address_areas entity_attributes entity_completeness_v entity_google_maps_links entity_google_reviews entity_hours entity_modules entity_nearby_landmark_types entity_nearby_landmarks entity_photos entity_reviews entity_tags entity_theme industry_retail search_index v_industry_facts_slugs"
"a-fresh-cup-series","","","","","1","batch-01","6","6","entity_completeness_v entity_theme industry_retail recovery_import_log search_index v_industry_facts_slugs"
"a-gulf-shores-beach-condo","","","","","1","batch-01","6","19","entity_completeness_v entity_modules entity_theme industry_condo search_index v_industry_facts_slugs"
"a-j-enterprises-llc","","","","","1","batch-01","6","19","entity_completeness_v entity_modules entity_theme industry_vacation_rental search_index v_industry_facts_slugs"
